age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
38,blue-collar,single,secondary,no,0,no,no,unknown,12,oct,8,1,-1,0,unknown,no
25,management,single,tertiary,no,1650,yes,no,unknown,12,oct,5,1,-1,0,unknown,no
36,management,single,tertiary,no,2646,no,no,cellular,13,oct,169,1,182,10,success,yes
62,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,216,1,183,4,success,yes
29,self-employed,single,tertiary,no,1579,no,no,cellular,13,oct,190,1,92,5,success,yes
26,blue-collar,single,secondary,no,2007,no,no,cellular,13,oct,194,1,92,5,success,yes
38,management,married,tertiary,no,413,no,no,cellular,13,oct,252,2,183,3,success,yes
29,admin.,married,tertiary,no,167,yes,yes,cellular,13,oct,357,2,237,2,failure,no
26,technician,single,secondary,no,342,no,no,cellular,14,oct,133,2,-1,0,unknown,no
43,technician,married,secondary,no,297,yes,no,cellular,14,oct,119,3,-1,0,unknown,no
86,retired,married,primary,no,1255,no,no,cellular,14,oct,192,2,92,4,success,no
59,technician,married,secondary,no,1,no,no,cellular,14,oct,585,1,182,5,success,yes
51,management,married,tertiary,no,469,no,no,cellular,14,oct,491,1,182,3,success,yes
28,self-employed,single,tertiary,no,159,no,no,cellular,14,oct,246,2,420,2,other,yes
36,blue-collar,single,tertiary,no,1830,no,no,cellular,14,oct,183,1,91,11,failure,no
53,admin.,married,secondary,no,459,no,no,cellular,14,oct,317,6,192,1,success,no
40,management,married,tertiary,no,0,no,no,cellular,14,oct,1410,3,-1,0,unknown,no
27,technician,single,secondary,no,643,no,no,telephone,14,oct,301,1,93,1,success,yes
38,management,married,tertiary,no,276,no,no,cellular,14,oct,322,1,-1,0,unknown,no
57,admin.,married,secondary,no,16873,no,no,cellular,14,oct,219,3,372,1,failure,no
28,management,single,tertiary,no,9710,no,no,cellular,14,oct,786,2,-1,0,unknown,no
37,management,married,secondary,no,209,no,no,cellular,14,oct,183,3,528,7,unknown,no
42,admin.,married,unknown,no,756,no,no,cellular,14,oct,72,4,160,3,failure,no
41,management,divorced,tertiary,no,3355,no,no,cellular,14,oct,181,2,500,1,failure,no
47,admin.,married,secondary,no,1387,yes,no,cellular,14,oct,158,1,826,1,failure,no
61,retired,married,secondary,no,938,no,no,cellular,15,oct,212,2,92,5,success,no
45,management,married,secondary,no,2897,no,no,cellular,15,oct,531,4,105,7,failure,no
39,services,single,secondary,no,471,no,no,unknown,15,oct,5,1,-1,0,unknown,no
60,retired,divorced,secondary,no,514,no,no,cellular,15,oct,187,2,213,10,success,yes
40,housemaid,married,primary,no,979,no,no,cellular,15,oct,106,4,-1,0,unknown,no
29,self-employed,single,tertiary,no,270,yes,no,cellular,15,oct,94,5,274,11,failure,no
42,unemployed,married,secondary,no,1289,no,no,cellular,15,oct,1176,3,92,6,success,yes
29,blue-collar,single,secondary,no,2806,no,no,cellular,15,oct,294,1,93,5,other,no
26,admin.,married,tertiary,no,319,no,no,cellular,15,oct,88,1,-1,0,unknown,no
33,management,single,tertiary,no,718,yes,no,cellular,18,oct,104,1,111,4,success,no
47,admin.,married,secondary,no,3676,no,no,cellular,18,oct,567,1,95,3,success,yes
28,management,married,tertiary,no,1918,no,no,cellular,18,oct,333,1,616,1,failure,no
45,management,single,tertiary,no,2048,yes,no,cellular,18,oct,310,1,804,1,failure,yes
43,unemployed,married,tertiary,no,0,no,no,cellular,18,oct,464,1,94,2,success,yes
22,management,single,tertiary,no,104,no,yes,cellular,18,oct,509,1,185,3,success,yes
34,technician,married,secondary,no,159,yes,no,cellular,18,oct,252,1,-1,0,unknown,yes
29,management,single,tertiary,no,600,yes,no,cellular,18,oct,170,5,-1,0,unknown,no
64,retired,married,secondary,no,466,yes,no,cellular,18,oct,526,1,-1,0,unknown,yes
39,admin.,divorced,secondary,no,728,yes,yes,cellular,18,oct,222,1,-1,0,unknown,yes
35,management,married,secondary,no,724,yes,no,cellular,18,oct,102,3,96,3,success,no
26,student,single,secondary,no,316,no,no,cellular,18,oct,375,2,-1,0,unknown,no
27,management,single,tertiary,no,107,no,no,cellular,18,oct,767,3,-1,0,unknown,yes
69,retired,divorced,secondary,no,4189,no,no,cellular,18,oct,138,4,96,2,success,no
32,student,single,tertiary,no,922,no,no,cellular,18,oct,338,2,-1,0,unknown,no
25,technician,single,secondary,no,3843,no,no,cellular,18,oct,159,2,95,2,failure,no
66,retired,married,secondary,no,3409,no,no,cellular,19,oct,133,3,160,3,failure,no
26,technician,single,secondary,no,4859,no,no,cellular,19,oct,90,2,92,3,other,no
49,blue-collar,married,secondary,no,1946,no,no,cellular,19,oct,192,1,95,1,success,yes
25,admin.,single,tertiary,no,1734,no,no,cellular,19,oct,366,1,-1,0,unknown,no
34,admin.,single,tertiary,no,1077,no,no,cellular,19,oct,218,1,151,5,other,no
42,management,married,unknown,no,1519,no,no,cellular,19,oct,230,1,92,1,success,yes
64,management,married,tertiary,no,5112,no,no,telephone,19,oct,898,7,137,11,other,yes
44,management,single,tertiary,no,1090,no,no,cellular,20,oct,178,4,93,6,success,yes
36,technician,married,tertiary,no,521,no,no,cellular,20,oct,347,3,-1,0,unknown,yes
43,management,married,tertiary,no,2450,no,yes,cellular,20,oct,124,1,-1,0,unknown,no
64,retired,divorced,secondary,no,4833,no,no,cellular,20,oct,621,1,181,3,failure,yes
30,self-employed,single,secondary,no,1031,no,no,unknown,20,oct,7,1,-1,0,unknown,no
58,retired,married,primary,no,742,no,no,unknown,20,oct,5,1,-1,0,unknown,no
75,retired,married,tertiary,no,4912,no,no,telephone,20,oct,238,2,183,5,failure,no
52,admin.,married,secondary,no,423,yes,yes,cellular,20,oct,139,2,96,7,failure,no
30,management,single,tertiary,no,2344,yes,no,cellular,20,oct,316,2,92,3,failure,no
29,student,single,secondary,no,1925,no,no,cellular,21,oct,150,3,149,5,success,yes
52,management,married,secondary,no,335,no,no,cellular,21,oct,411,1,182,1,failure,yes
26,student,single,secondary,no,108,no,no,cellular,21,oct,235,1,175,3,success,no
52,technician,married,secondary,no,371,yes,yes,cellular,21,oct,453,1,183,3,success,yes
49,technician,married,secondary,no,2400,no,no,cellular,21,oct,262,3,-1,0,unknown,no
27,unemployed,single,secondary,no,771,no,no,cellular,21,oct,181,1,302,3,other,yes
54,management,divorced,tertiary,no,5475,no,no,cellular,21,oct,1032,1,91,4,success,yes
37,management,married,tertiary,no,203,no,no,cellular,21,oct,759,1,90,5,success,yes
48,admin.,married,secondary,no,50,no,yes,cellular,21,oct,419,1,-1,0,unknown,yes
28,technician,single,tertiary,no,11862,no,no,cellular,21,oct,549,2,238,13,other,yes
46,technician,married,secondary,no,9299,no,no,cellular,21,oct,201,5,94,3,success,no
20,student,single,secondary,no,88,no,no,telephone,21,oct,621,1,181,4,other,no
77,retired,married,secondary,no,820,no,no,telephone,21,oct,330,2,181,4,success,yes
63,retired,single,tertiary,no,791,no,no,cellular,21,oct,212,2,-1,0,unknown,yes
27,student,single,secondary,no,1164,no,no,cellular,21,oct,256,2,104,2,failure,no
34,technician,single,secondary,no,1279,yes,no,cellular,21,oct,339,3,91,10,success,yes
66,retired,married,primary,no,8,no,no,cellular,22,oct,56,2,-1,0,unknown,no
59,entrepreneur,married,secondary,no,496,no,no,cellular,22,oct,738,3,183,1,success,yes
29,blue-collar,single,tertiary,no,455,no,no,cellular,22,oct,542,4,148,3,success,yes
25,technician,single,secondary,no,325,no,no,cellular,22,oct,716,3,-1,0,unknown,yes
